Fecha;tmed;hrmed;radmed;vvmed;dvmed;prec;dewpt;dpv
2021-01-01 00:00:00+00:00;3.0;66.0;0.0;0.3;181.9;0.0;-2.7;0.3
2021-01-01 02:00:00+00:00;3.3;67.4;0.0;0.2;193.6;0.0;-2.1;0.3
2021-01-01 04:00:00+00:00;4.9;62.6;0.0;0.5;193.5;0.0;-1.7;0.3
2021-01-01 06:00:00+00:00;6.6;72.5;2.2;0.8;196.4;0.0;1.9;0.3
2021-01-01 08:00:00+00:00;7.7;68.1;157.3;0.7;214.1;0.0;2.1;0.4
2021-01-01 10:00:00+00:00;12.1;42.4;367.4;1.9;292.0;0.0;-0.3;0.8
2021-01-01 12:00:00+00:00;13.2;33.5;338.9;1.9;313.5;0.0;-2.5;1.0
2021-01-01 14:00:00+00:00;13.5;30.9;290.7;2.2;302.0;0.0;-3.4;1.1
2021-01-01 16:00:00+00:00;11.3;34.8;19.2;1.5;283.9;0.0;-3.7;0.9
2021-01-01 18:00:00+00:00;8.2;44.2;0.0;0.4;220.7;0.0;-3.3;0.6
2021-01-01 20:00:00+00:00;6.0;55.9;0.0;0.6;193.2;0.0;-2.1;0.4
2021-01-01 22:00:00+00:00;4.0;63.1;0.0;0.4;191.5;0.0;-2.4;0.3
2021-01-02 00:00:00+00:00;2.0;68.2;0.0;0.3;204.8;0.0;-3.2;0.2
2021-01-02 02:00:00+00:00;2.2;65.4;0.0;0.5;201.2;0.0;-3.6;0.2
2021-01-02 04:00:00+00:00;2.0;64.7;0.0;0.6;194.6;0.0;-3.9;0.2
2021-01-02 06:00:00+00:00;1.3;66.8;2.6;0.4;193.9;0.0;-4.2;0.2
2021-01-02 08:00:00+00:00;5.5;50.2;199.2;0.8;202.7;0.0;-4.4;0.5
2021-01-02 10:00:00+00:00;10.5;27.0;469.8;1.8;282.9;0.0;-7.9;0.9
2021-01-02 12:00:00+00:00;12.2;22.0;507.2;2.1;301.0;0.0;-8.9;1.1
2021-01-02 14:00:00+00:00;11.2;25.8;213.2;2.1;316.6;0.0;-7.7;1.0
2021-01-02 16:00:00+00:00;9.9;28.1;20.1;1.6;280.0;0.0;-7.7;0.9
2021-01-02 18:00:00+00:00;8.6;32.5;0.0;0.8;239.7;0.0;-7.0;0.8
2021-01-02 20:00:00+00:00;6.9;38.2;0.0;0.7;242.4;0.0;-6.4;0.6
2021-01-02 22:00:00+00:00;6.3;39.5;0.0;0.8;224.9;0.0;-6.5;0.6
2021-01-03 00:00:00+00:00;6.5;36.2;0.0;0.9;261.9;0.0;-7.4;0.6
2021-01-03 02:00:00+00:00;6.4;34.4;0.0;1.1;231.8;0.0;-8.2;0.6
2021-01-03 04:00:00+00:00;6.1;32.7;0.0;1.0;215.3;0.0;-9.1;0.6
2021-01-03 06:00:00+00:00;6.0;34.8;2.2;1.1;213.2;0.0;-8.4;0.6
2021-01-03 08:00:00+00:00;8.2;30.9;201.9;1.2;242.8;0.0;-8.0;0.8
2021-01-03 10:00:00+00:00;11.4;25.9;472.8;1.9;307.0;0.0;-7.5;1.0
2021-01-03 12:00:00+00:00;13.3;22.3;518.0;1.9;305.7;0.0;-7.8;1.2
2021-01-03 14:00:00+00:00;13.2;22.3;314.7;1.7;283.7;0.0;-7.9;1.2
2021-01-03 16:00:00+00:00;10.1;28.0;21.3;0.7;241.6;0.0;-7.7;0.9
2021-01-03 18:00:00+00:00;6.2;36.2;0.0;0.7;191.8;0.0;-7.8;0.6
2021-01-03 20:00:00+00:00;3.5;45.2;0.0;0.3;187.8;0.0;-7.3;0.4
2021-01-03 22:00:00+00:00;1.7;50.6;0.0;0.3;212.5;0.0;-7.5;0.4
2021-01-04 00:00:00+00:00;-0.1;55.4;0.0;0.2;160.0;0.0;-8.0;0.3
2021-01-04 02:00:00+00:00;-0.4;56.6;0.0;0.2;196.2;0.0;-8.0;0.2
2021-01-04 04:00:00+00:00;-1.5;62.5;0.0;0.2;208.2;0.0;-7.8;0.2
2021-01-04 06:00:00+00:00;-1.1;63.8;2.6;0.3;201.8;0.0;-7.1;0.2
2021-01-04 08:00:00+00:00;3.5;51.8;196.7;0.2;146.8;0.0;-5.8;0.4
2021-01-04 10:00:00+00:00;11.6;29.5;463.3;0.7;187.1;0.0;-5.7;1.0
2021-01-04 12:00:00+00:00;14.5;22.4;508.2;0.9;250.8;0.0;-6.7;1.3
2021-01-04 14:00:00+00:00;14.0;25.3;189.9;0.8;144.8;0.0;-5.6;1.2
2021-01-04 16:00:00+00:00;10.8;34.4;19.5;0.3;125.2;0.0;-4.3;0.9
2021-01-04 18:00:00+00:00;8.6;42.9;0.0;0.4;180.8;0.0;-3.3;0.6
2021-01-04 20:00:00+00:00;5.6;52.8;0.0;0.4;183.6;0.0;-3.3;0.4
2021-01-04 22:00:00+00:00;4.8;56.4;0.0;0.4;187.3;0.0;-3.1;0.4
2021-01-05 00:00:00+00:00;3.2;63.4;0.0;0.3;199.5;0.0;-3.2;0.3
2021-01-05 02:00:00+00:00;1.6;69.8;0.0;0.3;137.0;0.0;-3.3;0.2
2021-01-05 04:00:00+00:00;0.3;75.1;0.0;0.2;165.5;0.0;-3.6;0.2
2021-01-05 06:00:00+00:00;0.1;75.0;4.5;0.3;191.3;0.0;-3.9;0.2
2021-01-05 08:00:00+00:00;4.5;59.5;144.0;0.3;227.2;0.0;-2.9;0.4
2021-01-05 10:00:00+00:00;9.5;37.7;452.3;0.6;247.0;0.0;-4.3;0.7
2021-01-05 12:00:00+00:00;12.6;25.8;506.6;1.2;319.7;0.0;-6.6;1.1
2021-01-05 14:00:00+00:00;12.6;24.0;264.4;0.7;297.9;0.0;-7.4;1.1
2021-01-05 16:00:00+00:00;9.2;31.9;23.5;0.4;171.5;0.0;-6.7;0.8
2021-01-05 18:00:00+00:00;7.6;35.3;0.0;0.5;189.4;0.0;-6.8;0.7
2021-01-05 20:00:00+00:00;5.7;41.6;0.0;0.3;185.1;0.0;-6.4;0.5
2021-01-05 22:00:00+00:00;4.0;46.9;0.0;0.3;191.0;0.0;-6.3;0.4
2021-01-06 00:00:00+00:00;3.9;48.8;0.0;0.2;189.1;0.0;-5.9;0.4
2021-01-06 02:00:00+00:00;3.2;51.2;0.0;0.2;196.3;0.0;-6.0;0.4
2021-01-06 04:00:00+00:00;2.2;55.3;0.0;0.4;191.3;0.0;-5.9;0.3
2021-01-06 06:00:00+00:00;1.9;57.8;3.7;0.3;197.6;0.0;-5.5;0.3
2021-01-06 08:00:00+00:00;4.9;48.9;129.3;0.2;170.0;0.0;-5.0;0.4
2021-01-06 10:00:00+00:00;8.5;36.9;287.5;0.5;282.2;0.0;-5.4;0.7
2021-01-06 12:00:00+00:00;11.1;34.5;356.3;0.5;217.2;0.0;-4.0;0.9
2021-01-06 14:00:00+00:00;12.1;34.5;216.7;0.8;35.0;0.0;-3.2;0.9
2021-01-06 16:00:00+00:00;10.7;46.6;22.6;0.6;87.3;0.0;-0.4;0.7
2021-01-06 18:00:00+00:00;10.2;57.1;0.0;0.7;78.8;0.0;2.0;0.5
2021-01-06 20:00:00+00:00;9.1;63.4;0.0;0.6;76.2;0.0;2.5;0.4
2021-01-06 22:00:00+00:00;7.5;81.0;0.0;0.2;136.9;0.0;4.5;0.2
2021-01-07 00:00:00+00:00;6.8;86.1;0.0;0.1;156.3;0.1;4.6;0.1
2021-01-07 02:00:00+00:00;6.4;87.5;0.0;0.7;83.5;0.1;4.5;0.1
2021-01-07 04:00:00+00:00;5.8;87.7;0.0;0.1;184.1;0.2;4.0;0.1
2021-01-07 06:00:00+00:00;5.5;88.6;0.4;0.2;279.0;0.2;3.8;0.1
2021-01-07 08:00:00+00:00;4.9;88.4;27.2;0.4;229.0;0.1;3.1;0.1
2021-01-07 10:00:00+00:00;5.0;88.3;44.1;0.4;211.7;0.1;3.2;0.1
2021-01-07 12:00:00+00:00;5.4;88.8;48.3;0.4;250.4;0.1;3.8;0.1
2021-01-07 14:00:00+00:00;5.6;89.1;28.2;0.4;241.6;0.1;4.0;0.1
2021-01-07 16:00:00+00:00;5.3;89.1;4.2;0.6;213.3;0.1;3.7;0.1
2021-01-07 18:00:00+00:00;5.0;89.2;0.0;0.9;192.1;0.1;3.4;0.1
2021-01-07 20:00:00+00:00;5.0;88.9;0.0;0.9;188.4;0.0;3.4;0.1
2021-01-07 22:00:00+00:00;5.0;89.2;0.0;0.8;196.4;0.0;3.4;0.1
2021-01-08 00:00:00+00:00;4.8;89.3;0.0;0.7;200.5;0.2;3.2;0.1
2021-01-08 02:00:00+00:00;4.2;89.4;0.0;0.8;199.8;0.2;2.6;0.1
2021-01-08 04:00:00+00:00;4.0;89.6;0.0;0.7;192.8;0.1;2.4;0.1
2021-01-08 06:00:00+00:00;4.0;89.7;1.1;0.6;202.5;0.1;2.5;0.1
2021-01-08 08:00:00+00:00;4.4;89.9;20.1;0.5;223.6;0.1;2.9;0.1
2021-01-08 10:00:00+00:00;5.2;89.7;46.5;0.4;216.8;0.1;3.7;0.1
2021-01-08 12:00:00+00:00;5.5;89.7;50.5;0.5;249.4;0.1;4.0;0.1
2021-01-08 14:00:00+00:00;5.5;89.9;26.1;0.5;236.6;0.1;4.0;0.1
2021-01-08 16:00:00+00:00;6.4;90.0;3.3;0.8;123.6;0.1;4.9;0.1
2021-01-08 18:00:00+00:00;6.8;89.7;0.0;0.9;145.5;0.2;5.2;0.1
2021-01-08 20:00:00+00:00;6.0;90.1;0.0;0.5;195.3;0.1;4.5;0.1
2021-01-08 22:00:00+00:00;5.7;90.2;0.0;0.4;227.8;0.1;4.3;0.1
2021-01-09 00:00:00+00:00;5.7;90.4;0.0;0.4;199.3;0.1;4.3;0.1
