0;1;2;3;4;5;6;7;8;9;10
26.1;31.4;17.7;437.8;2.6;66.6;0.0;4.0;0.0;1.0;0.0
26.1;31.5;18.8;447.2;2.2;57.5;0.0;4.9;0.0;1.0;0.0
28.2;31.1;18.0;409.8;2.7;53.2;0.0;4.0;0.0;1.0;0.0
29.4;30.9;17.5;381.6;2.6;57.4;0.0;3.5;0.0;1.0;0.0
29.9;30.7;18.7;351.0;2.4;62.2;0.0;4.2;0.0;1.0;0.0
30.3;30.6;19.2;318.3;2.3;57.6;0.0;4.5;0.0;1.0;0.0
30.5;30.4;19.2;279.4;2.3;54.9;0.0;4.3;0.0;1.0;0.0
28.8;19.1;31.6;293.4;2.0;342.4;0.0;1.8;0.0;1.0;0.0
29.5;18.9;32.1;267.0;2.3;338.0;0.0;1.9;0.0;1.0;0.0
29.2;18.6;32.6;239.8;2.2;344.7;0.0;1.9;0.0;1.0;0.0
28.5;18.4;33.3;212.7;2.1;342.3;0.0;2.0;0.0;1.0;0.0
27.9;18.3;33.9;180.9;2.0;342.9;0.0;2.1;0.0;1.0;0.0
27.7;18.1;34.3;153.5;1.9;7.4;0.0;2.2;0.0;1.0;0.0
27.3;17.8;34.7;121.6;1.9;347.6;0.0;2.0;0.0;1.0;0.0
25.3;19.3;66.4;323.2;0.8;30.1;0.0;12.9;1.0;0.0;0.0
24.6;19.4;65.6;324.7;1.3;39.0;0.0;12.8;1.0;0.0;0.0
25.0;19.5;65.4;331.1;1.4;42.8;0.0;12.8;1.0;0.0;0.0
25.3;19.6;65.0;249.9;1.0;32.7;0.0;12.9;1.0;0.0;0.0
25.3;19.6;63.5;213.6;0.7;343.9;0.0;12.5;1.0;0.0;0.0
25.5;19.8;62.7;245.1;0.3;320.5;0.0;12.5;1.0;0.0;0.0
24.5;20.1;62.0;287.0;0.5;326.2;0.0;12.6;1.0;0.0;0.0
25.4;18.2;71.6;19.1;0.9;121.6;0.0;13.0;1.0;0.0;0.0
25.1;18.5;69.7;18.1;2.0;91.5;0.0;12.9;1.0;0.0;0.0
25.5;18.7;70.3;23.3;2.0;38.9;0.1;13.1;1.0;0.0;0.0
25.6;18.4;73.6;26.0;1.9;81.7;0.0;13.6;1.0;0.0;0.0
25.8;19.4;66.3;28.4;2.2;71.0;0.0;12.9;1.0;0.0;0.0
26.0;19.6;66.7;57.3;0.7;7.6;0.0;13.2;1.0;0.0;0.0
26.1;18.8;72.3;63.2;2.2;261.5;0.0;13.7;1.0;0.0;0.0
23.4;12.7;47.9;497.4;1.4;322.0;0.0;1.9;1.0;0.0;0.0
23.6;12.9;45.4;512.2;2.1;286.9;0.0;1.4;1.0;0.0;0.0
24.8;13.1;41.7;526.0;2.6;280.6;0.0;0.4;1.0;0.0;0.0
24.5;13.3;40.3;540.4;2.6;304.5;0.0;0.1;1.0;0.0;0.0
24.3;13.5;40.3;548.0;1.9;285.8;0.0;0.3;1.0;0.0;0.0
24.0;13.5;39.5;553.6;2.4;285.3;0.0;0.0;1.0;0.0;0.0
23.9;13.7;39.0;556.6;2.5;287.6;0.0;0.0;1.0;0.0;0.0
32.8;21.8;77.4;5.0;0.4;340.2;0.0;17.7;0.0;0.0;1.0
32.2;21.9;77.6;6.8;0.3;157.4;0.0;17.8;1.0;0.0;0.0
32.7;22.1;77.3;10.2;0.5;144.7;0.0;17.9;1.0;0.0;0.0
33.0;22.1;76.4;15.5;0.4;191.3;0.0;17.8;1.0;0.0;0.0
33.1;22.2;75.6;24.7;0.6;227.4;0.0;17.7;1.0;0.0;0.0
33.2;22.4;76.1;37.6;0.7;2.7;0.0;18.0;1.0;0.0;0.0
33.3;22.4;76.7;51.3;0.6;355.8;0.0;18.1;1.0;0.0;0.0
26.4;16.7;63.4;50.2;1.4;40.8;0.0;9.7;0.0;1.0;0.0
26.4;16.5;64.5;36.6;1.5;49.3;0.0;9.8;0.0;1.0;0.0
26.6;16.2;65.9;23.5;1.0;38.1;0.0;9.8;0.0;1.0;0.0
26.7;15.9;67.4;15.0;0.9;36.7;0.0;9.9;0.0;1.0;0.0
26.8;15.6;68.5;6.9;1.1;25.5;0.0;9.8;0.0;1.0;0.0
26.8;15.2;69.9;2.7;1.5;46.3;0.0;9.8;0.0;1.0;0.0
26.8;15.1;70.4;0.7;1.0;46.5;0.0;9.7;0.0;1.0;0.0
28.5;25.7;43.8;127.1;1.7;36.0;0.0;12.5;0.0;1.0;0.0
28.6;25.6;44.7;131.5;1.2;44.7;0.0;12.7;0.0;1.0;0.0
28.9;25.7;45.0;117.0;0.7;67.7;0.0;12.9;0.0;1.0;0.0
29.1;25.7;44.9;87.5;0.7;81.6;0.0;12.8;0.0;1.0;0.0
28.8;25.6;45.0;73.9;0.9;76.9;0.0;12.9;0.0;1.0;0.0
28.3;25.6;44.8;115.2;1.0;65.1;0.0;12.8;0.0;1.0;0.0
28.8;26.1;43.4;242.5;1.4;57.3;0.0;12.7;0.0;1.0;0.0
27.5;39.5;16.5;835.0;0.7;200.0;0.0;9.4;1.0;0.0;0.0
27.7;40.4;14.3;849.0;1.3;58.8;0.0;8.1;1.0;0.0;0.0
27.5;40.9;15.0;866.0;2.1;4.0;0.0;9.1;1.0;0.0;0.0
27.8;41.0;15.0;859.0;2.1;14.6;0.0;9.3;1.0;0.0;0.0
27.1;41.5;13.3;857.0;1.6;15.2;0.0;7.8;1.0;0.0;0.0
27.4;41.8;12.5;878.0;1.2;340.9;0.0;7.2;1.0;0.0;0.0
27.0;42.0;12.8;878.0;1.2;335.1;0.0;7.6;1.0;0.0;0.0
26.1;14.2;84.0;62.9;0.0;229.9;0.0;11.5;1.0;0.0;0.0
25.9;14.5;83.0;73.6;0.0;0.0;0.0;11.6;1.0;0.0;0.0
