Modelo;Variables;steps_pred;n_obs_despues;n_obs_antes;CVRMSE;R2;RMSE
LSTM;1;6;6;1;1.434170220618573;0.9763141506828252;0.4035471879838599
LSTM;2;6;6;1;1.1046981356757497;0.9822032421183726;0.3121737503499632
LSTM;3;6;6;1;1.2938233733152464;0.9754526013929894;0.3624422168852461
LSTM;1;6;6;3;1.214848307032799;0.974109933823708;0.3419647205252129
LSTM;2;6;6;3;1.3612583134374228;0.9771474647343376;0.377645398100378
LSTM;3;6;6;3;1.3333133748264114;0.9695074107822136;0.3792567342139211
LSTM;1;6;6;6;1.1195166030609165;0.980363627689223;0.3151950128129781
LSTM;2;6;6;6;1.3644758871961868;0.9620321756716894;0.3902590547920982
LSTM;3;6;6;6;1.4209986363423224;0.969190873044504;0.4011699066850001
LSTM;1;6;12;1;1.1575401504821226;0.9772983251212948;0.3258634635655351
LSTM;2;6;12;1;1.3613903680131374;0.971911993990332;0.3903634834961657
LSTM;3;6;12;1;1.5165717349371226;0.9773749985073398;0.4213463629766202
LSTM;1;6;12;3;1.3905476583054035;0.9780669603261044;0.3886400448785674
LSTM;2;6;12;3;1.1129056474825;0.9812405172953592;0.3127038166423559
LSTM;3;6;12;3;1.3190540036191944;0.9791454924807472;0.3719390313242227
LSTM;1;6;12;6;1.1950459744957136;0.9761340447656084;0.3355349762341823
LSTM;2;6;12;6;1.1172435702134913;0.9824731413920612;0.3110304949850719
LSTM;3;6;12;6;1.2848277544746918;0.9647955648808892;0.3673655653535044
LSTM;1;12;12;1;1.019039646250405;0.9886451377921848;0.2837692738634203
LSTM;2;12;12;1;0.8418213712988253;0.9904898106292248;0.2414834032137385
LSTM;3;12;12;1;1.179337527094915;0.9862565953136648;0.3316410601966704
LSTM;1;12;12;3;0.9973565680903262;0.9866508626248298;0.2808740791403116
LSTM;2;12;12;3;1.1379752733776822;0.982568222519436;0.3225801648550777
LSTM;3;12;12;3;1.014355486269361;0.9883167868378662;0.2839744536893646
LSTM;1;12;12;6;0.9230331449874496;0.988097521194984;0.2629609374605141
LSTM;2;12;12;6;2.97952519737834;0.9056918410689376;0.8456027385785949
LSTM;3;12;12;6;1.0118597103390383;0.9827538436515484;0.2890504265551222
GRU;1;6;6;1;1.2799808777038877;0.979349132424172;0.3594985774849463
GRU;2;6;6;1;1.1465333484678846;0.979432952854634;0.3262239870462667
GRU;3;6;6;1;1.4908384346776926;0.9648981381711672;0.4197651013989102
GRU;1;6;12;1;1.268716106512481;0.9802609274297692;0.354518954786973
GRU;2;6;12;1;1.328504079274161;0.9786427504419212;0.3687169483250089
GRU;3;6;12;1;1.5163759841517803;0.9724170264921984;0.4225894954871371
GRU;1;6;6;3;1.44187253595905;0.973849566104099;0.4052863386491563
GRU;2;6;6;3;1.2921339312884677;0.9723636315352068;0.3657999085231131
GRU;3;6;6;3;1.2828613800527802;0.9767760141021218;0.3593717796834025
GRU;1;6;12;3;1.3413257331842372;0.9713846518272646;0.375846922247852
GRU;2;6;12;3;1.3142554038121197;0.9767540277196488;0.3639781664731598
GRU;3;6;12;3;1.5938115257541228;0.9624847954499928;0.449871012161054
GRU;1;6;6;6;1.147722072591391;0.9795255880700252;0.3215193089426705
GRU;2;6;6;6;1.2751523347597558;0.9694650388215704;0.3643418888235687
GRU;3;6;6;6;2.2905426568412426;0.9263770613893992;0.6392522798134433
GRU;1;6;12;6;1.242192078780726;0.9749831616242404;0.3474406132448132
GRU;2;6;12;6;2.096970429202659;0.9304649940989592;0.5896240742012983
GRU;3;6;12;6;1.243423197832476;0.9735641297758564;0.3527279477209304
GRU;1;12;12;1;1.1019063390019088;0.9809710988050372;0.3144427949961786
GRU;2;12;12;1;1.042780453062231;0.9852228546126662;0.2952851442562673
GRU;3;12;12;1;1.0226152745143828;0.9860650387496172;0.2945553687621841
GRU;1;12;12;3;0.9940268492895782;0.9852862064810688;0.2832166572672173
GRU;2;12;12;3;1.1938917634048078;0.9816876503288116;0.3347197158792392
GRU;3;12;12;3;1.0275072978484543;0.9885582197082674;0.2920537270830846
GRU;1;12;12;6;1.1169072297254607;0.9793307026847136;0.3173395430234784
GRU;2;12;12;6;1.0332362707242146;0.9863665524003874;0.290536047125031
GRU;3;12;12;6;0.985043642861124;0.9804849416344896;0.2812796175867482
BiLSTM;1;6;6;1;1.2927994760967203;0.9799405947981632;0.3674081721444907
BiLSTM;2;6;6;1;1.298290609223508;0.9761385771475856;0.3662439994329927
BiLSTM;3;6;6;1;1.1892807843123143;0.9796597939968924;0.3368608955526176
BiLSTM;1;6;12;1;1.2408747677260674;0.9781713948783722;0.347500369231273
BiLSTM;2;6;12;1;1.1367841693563463;0.9796806092009746;0.3219111033804984
BiLSTM;3;6;12;1;1.354147745702862;0.9786136596477024;0.3774163330420296
BiLSTM;1;6;6;3;1.1265801018699386;0.9781307953339392;0.318182974445153
