Modelo;Edificio;Variables;pred;n_obs_antes;CVRMSE;R2;RMSE
MLP;A;1;60T;1;8.943380645437623;0.9373011182706942;0.2653406183464194
MLP;A;2;60T;1;9.018385329524914;0.9362450456487912;0.2675659277728668
MLP;A;1;60T;2;8.944095064663829;0.9373489635485974;0.2652945763407699
MLP;A;2;60T;2;27.317656832205707;0.4155567636389889;0.8102805419135988
MLP;A;1;60T;4;11.03444130055017;0.9047632929564664;0.3270742533343134
MLP;A;2;60T;4;11.129856922464084;0.9031091343704064;0.3299024883526434
MLP;A;1;120T;1;10.14863102402759;0.8854516955184352;0.5961675265738948
MLP;A;2;120T;1;9.651496633092725;0.896399210227314;0.5669640429201124
MLP;A;1;120T;2;10.416472301160226;0.8788514517218644;0.61116302414676
MLP;A;2;120T;2;9.4661653501197;0.8999481645600782;0.5554059066434645
MLP;A;1;120T;4;12.408429096608756;0.8279299461262164;0.7268115213130935
MLP;A;2;120T;4;11.673196280873206;0.8477170560589505;0.6837459827857298
MLP;B;1;60T;1;8.214870908923071;0.9795513775798756;0.2438796786520983
MLP;B;2;60T;1;13.190283846864414;0.9472805522488716;0.3915876733265634
MLP;B;1;60T;2;9.944384320605405;0.9699725623771558;0.2954218450824819
MLP;B;2;60T;2;12.664319961634789;0.9513003071728467;0.3762240727189924
MLP;B;1;60T;4;17.31790151890228;0.908560207831412;0.5151536824289933
MLP;B;2;60T;4;38.39397556935602;0.5505608842076672;1.14210130344339
MLP;B;1;120T;1;10.800557265958432;0.9614949430525692;0.640561363886457
MLP;B;2;120T;1;7.903829338467712;0.9793794354743184;0.4687617107435794
MLP;B;1;120T;2;13.97907514575573;0.935214995531362;0.8301733795646781
MLP;B;2;120T;2;72.18241869331597;-0.7273505188400391;4.286687198328465
MLP;B;1;120T;4;16.48785722731032;0.90910144563792;0.9817361440941514
MLP;B;2;120T;4;9.523452892234957;0.9696738404253368;0.5670547598749578
MLP;C;1;60T;1;46.51107485530621;0.8814720912261174;0.8364235130370703
MLP;C;2;60T;1;46.30820602086779;0.8825038101664386;0.8327752579985747
MLP;C;1;60T;2;42.788146267930486;0.8997670867464408;0.769490248563019
MLP;C;2;60T;2;58.44937607353566;0.8129648772872128;1.0511374959211028
MLP;C;1;60T;4;38.46589277409877;0.9190489685119247;0.6920822217051421
MLP;C;2;60T;4;72.77226135171003;0.7102639768663931;1.3093258646192627
MLP;C;1;120T;1;31.333841903250427;0.8558427293303397;0.8680439198708257
MLP;C;2;120T;1;37.808606811641496;0.7901105523246652;1.0474148482324328
MLP;C;1;120T;2;31.280504581279388;0.8566560078489229;0.8663564360499643
MLP;C;2;120T;2;116.47167974609768;-0.9873422852905818;3.2258427642491343
MLP;C;1;120T;4;34.158187958733166;0.8294888237113895;0.9465488980943524
MLP;C;2;120T;4;185.6692029014613;-4.037823505626209;5.145032272459949
